id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
909613314034838494,Rental unit in Santiago · ★4.90 · 1 bedroom · 2 beds · 1 bath,498284514,La Conciergerie,,Santiago,-33.43795190688516,-70.6418000576721,Entire home/apt,42320,3,20,2023-12-10,3.03,8,75,20,
909690718337002241,Home in Santiago · ★4.80 · 4 bedrooms · 5 beds · 2.5 baths,64692206,Veronica,,Vitacura,-33.39125,-70.59167,Entire home/apt,250000,2,5,2023-08-26,0.89,2,363,5,
913002464782982478,Rental unit in Providencia · ★5.0 · Studio · 1 bed · 1 bath,317472101,Andes STR,,Providencia,-33.4260801,-70.6177329,Entire home/apt,50070,2,14,2023-12-10,2.27,120,361,14,
913051707838386907,Rental unit in Ñuñoa · 1 bedroom · 1 bed · 1 shared bath,317540748,Liliana,,Ñuñoa,-33.45625,-70.57313,Private room,15000,2,2,2023-09-15,0.44,1,180,2,
909751219859762378,Condo in Santiago · ★4.88 · 2 bedrooms · 3 beds · 1 bath,234713650,Jonny,,Ñuñoa,-33.4575059,-70.6262485,Entire home/apt,62537,2,34,2023-12-19,5.10,1,13,34,
909760441157736998,Rental unit in Santiago · ★4.33 · 1 bedroom · 1 bed · 1 bath,260386629,Marcelo,,Santiago,-33.4452818,-70.64391619999999,Entire home/apt,33000,1,3,2023-08-08,0.45,5,365,3,
909924161936307453,Rental unit in Santiago · 1 bedroom · 1 bed · Half-bath,519040819,Harshad Dahyabahi,,Santiago,-33.43679912235332,-70.65635919570923,Private room,13286,30,0,,,1,364,0,
910037272677815997,Rental unit in Santiago · ★4.71 · 3 bedrooms · 3 beds · 2 baths,376603824,Alejandro,,Santiago,-33.4578234690847,-70.64580993068847,Entire home/apt,50286,1,14,2023-12-19,6.00,1,356,14,
910083168446260754,Guest suite in Santiago · ★5.0 · 1 bedroom · 1 bed · 1.5 shared baths,163086177,Nicole,,Santiago,-33.449303525675674,-70.65316401422024,Private room,15000,1,4,2023-10-26,0.60,1,0,4,
913063883985582939,Rental unit in Providencia · 2 bedrooms · 2 beds · 1 bath,425605285,Jose,,Providencia,-33.43356363788106,-70.58589006416125,Entire home/apt,45000,2,1,2023-07-15,0.18,1,365,1,
913080520443695602,Rental unit in Providencia · ★5.0 · 2 bedrooms · 3 beds · 2 baths,2677073,María Alejandra,,Providencia,-33.4290197,-70.6200954,Entire home/apt,70000,1,9,2023-12-10,1.71,1,356,9,
910087286284291276,Rental unit in Las Condes · ★4.83 · 1 bedroom · 1 bed · 1 bath,519086127,Maria Elena,,Las Condes,-33.4136818,-70.5799912,Entire home/apt,45000,1,6,2023-11-16,0.92,2,355,6,
910096718913653838,Rental unit in Santiago · ★5.0 · 1 bedroom · 1 bed · 1 bath,519086265,Laura,,Santiago,-33.4379904,-70.64849160000001,Entire home/apt,21378,7,5,2023-11-30,0.90,1,178,5,
910277761115151526,Serviced apartment in Providencia · 1 bedroom · 1 bed · 1 bath,519136469,Teresa,,Providencia,-33.42036,-70.60104,Private room,22000,7,1,2023-09-03,0.26,1,364,1,
913113467945213782,Rental unit in Lo Barnechea · 1 bedroom · 1 bed · 1 bath,24011672,Maria,,Lo Barnechea,-33.34754303830658,-70.29133643121338,Entire home/apt,180000,2,1,2023-08-03,0.20,20,365,1,
